start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,0,2,0,49
2024-05-08,2024-05-14,col,0,1,0,62
2024-05-15,2024-05-21,col,0,3,0,50.333333333333336
2024-05-22,2024-05-28,col,0,1,0,43
2024-05-29,2024-06-04,col,0,2,0,62.5
2024-06-05,2024-06-11,col,0,1,0,42
2024-06-12,2024-06-18,col,0,3,0,34
2024-06-19,2024-06-25,col,0,3,0,36.333333333333336
2024-06-26,2024-07-02,col,0,2,0,61.5
2024-07-03,2024-07-09,col,0,4,0,38.75
2024-07-10,2024-07-16,col,0,1,0,32
2024-07-17,2024-07-23,col,0,3,0,53.333333333333336
2024-07-24,2024-07-30,col,0,3,0,33.333333333333336
2024-07-31,2024-08-06,col,0,3,0,32.66666666666667
2024-08-07,2024-08-13,col,0,3,0,34.666666666666664
2024-08-14,2024-08-20,col,0,3,0,32
2024-08-21,2024-08-27,col,0,2,0,26.5
2024-08-28,2024-09-03,col,0,2,0,34
2024-09-04,2024-09-10,col,0,1,0,44
2024-09-11,2024-09-17,col,0,6,0,32
2024-09-18,2024-09-24,col,0,7,0,44
2024-09-25,2024-10-01,col,0,2,0,43.5
2024-10-02,2024-10-08,col,0,6,0,40
2024-10-09,2024-10-15,col,0,5,0,26.4
2024-10-16,2024-10-22,col,0,1,0,43
2024-10-23,2024-10-29,col,0,2,0,30
2024-10-30,2024-11-05,col,0,2,0,20
2024-11-06,2024-11-12,col,0,1,0,24
2024-11-13,2024-11-19,col,0,1,0,35
2024-11-20,2024-11-26,col,0,1,0,43
2024-11-27,2024-12-03,col,0,3,0,41.666666666666664
2024-12-04,2024-12-10,col,0,1,0,48
2024-12-11,2024-12-17,col,0,1,0,73
