start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,1,0,60
2024-05-08,2024-05-14,can,0,1,0,61
2024-05-15,2024-05-21,can,0,1,0,51
2024-05-22,2024-05-28,can,0,2,0,50
2024-05-29,2024-06-04,can,0,4,0,60.25
2024-06-05,2024-06-11,can,0,2,0,60
2024-06-12,2024-06-18,can,0,5,0,65.2
2024-06-19,2024-06-25,can,0,2,0,49.5
2024-06-26,2024-07-02,can,0,1,0,98
2024-07-03,2024-07-09,can,0,1,0,51
2024-07-10,2024-07-16,can,0,2,0,67
2024-07-17,2024-07-23,can,0,2,0,94.5
2024-07-24,2024-07-30,can,0,2,0,55
2024-07-31,2024-08-06,can,0,2,0,65.5
2024-08-07,2024-08-13,can,0,2,0,46
2024-08-14,2024-08-20,can,0,1,0,77
2024-08-21,2024-08-27,can,0,1,0,63
2024-08-28,2024-09-03,can,0,1,0,68
2024-09-04,2024-09-10,can,0,2,0,67
2024-09-11,2024-09-17,can,0,1,0,62
2024-09-18,2024-09-24,can,0,1,0,23
2024-09-25,2024-10-01,can,0,1,0,40
2024-10-02,2024-10-08,can,0,1,0,35
2024-10-09,2024-10-15,can,0,1,0,29
2024-10-16,2024-10-22,can,0,3,0,56.333333333333336
2024-10-23,2024-10-29,can,0,1,0,48
2024-10-30,2024-11-05,can,0,1,0,1
