start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,0,1,0,30
2024-05-08,2024-05-14,chl,0,2,0,42
2024-05-15,2024-05-21,chl,0,2,0,94
2024-05-22,2024-05-28,chl,0,2,0,42
2024-05-29,2024-06-04,chl,0,2,0,89
2024-06-05,2024-06-11,chl,0,1,0,58
2024-06-12,2024-06-18,chl,0,1,0,65
2024-06-19,2024-06-25,chl,0,3,0,20.666666666666668
2024-06-26,2024-07-02,chl,0,1,0,90
2024-07-03,2024-07-09,chl,0,3,0,38.333333333333336
2024-07-10,2024-07-16,chl,0,3,0,56.333333333333336
2024-07-17,2024-07-23,chl,0,1,0,41
2024-07-24,2024-07-30,chl,0,2,0,71
2024-07-31,2024-08-06,chl,0,1,0,52
2024-08-07,2024-08-13,chl,0,1,0,64
2024-08-14,2024-08-20,chl,0,3,0,29.666666666666668
2024-08-21,2024-08-27,chl,0,5,0,61.6
2024-08-28,2024-09-03,chl,0,4,0,53.25
2024-09-04,2024-09-10,chl,0,2,0,48.5
