start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,0,1,0,43
2024-05-08,2024-05-14,chl,0,2,0,63.5
2024-05-15,2024-05-21,chl,0,1,0,42
2024-05-22,2024-05-28,chl,0,1,0,99
2024-05-29,2024-06-04,chl,0,2,0,72.5
2024-06-05,2024-06-11,chl,0,4,0,89.5
2024-06-12,2024-06-18,chl,0,1,0,86
2024-06-19,2024-06-25,chl,0,3,0,83.66666666666667
2024-06-26,2024-07-02,chl,0,2,0,53
2024-07-03,2024-07-09,chl,0,1,0,66
2024-07-10,2024-07-16,chl,0,1,0,66
2024-07-17,2024-07-23,chl,0,1,0,99
2024-07-24,2024-07-30,chl,0,3,0,64.66666666666666
2024-07-31,2024-08-06,chl,0,1,0,81
2024-08-07,2024-08-13,chl,0,1,0,63
