start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,global care clinic,0,1,0,10
2024-05-01,2024-05-07,usa,global care network,0,1,0,10
2024-05-01,2024-05-07,usa,globalcare,0,2,0,7
2024-05-08,2024-05-14,usa,global care network,0,1,0,11
2024-05-08,2024-05-14,usa,globalcare,0,1,0,3
2024-05-15,2024-05-21,usa,global care network,0,1,0,8
2024-05-15,2024-05-21,usa,globalcare,0,1,0,3
2024-05-22,2024-05-28,usa,global care clinic,0,1,0,5
2024-05-22,2024-05-28,usa,global care network,0,2,0,8
2024-05-29,2024-06-04,usa,global care phone number,0,1,0,9
2024-06-05,2024-06-11,usa,global care agency,0,2,0,9
2024-06-05,2024-06-11,usa,global care network,0,1,0,6
2024-06-05,2024-06-11,usa,global care number,0,1,0,11
2024-06-05,2024-06-11,usa,global dental care,0,1,0,7
2024-06-12,2024-06-18,usa,globalcare,0,3,0,9
2024-06-19,2024-06-25,usa,globalcare,0,2,0,7.5
2024-06-26,2024-07-02,usa,global dental care,0,1,0,10
2024-06-26,2024-07-02,usa,globalcare,0,1,0,5
