start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,2,0,104
2024-05-08,2024-05-14,arg,0,3,0,86
2024-05-15,2024-05-21,arg,0,1,0,110
2024-05-22,2024-05-28,arg,0,1,0,191
2024-05-29,2024-06-04,arg,0,1,0,82
2024-06-05,2024-06-11,arg,0,1,0,82
2024-06-12,2024-06-18,arg,0,1,0,20
2024-06-19,2024-06-25,arg,0,2,0,27
2024-06-26,2024-07-02,arg,0,4,0,76.5
2024-07-03,2024-07-09,arg,0,1,0,88
2024-07-10,2024-07-16,arg,0,2,0,27
2024-07-17,2024-07-23,arg,0,1,0,65
2024-07-24,2024-07-30,arg,0,1,0,55
2024-07-31,2024-08-06,arg,0,1,0,55
