start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,1,0,5
2024-05-08,2024-05-14,arg,0,1,0,5
2024-05-15,2024-05-21,arg,0,1,0,34
2024-05-22,2024-05-28,arg,0,1,0,5
2024-05-29,2024-06-04,arg,0,2,0,41.5
2024-06-05,2024-06-11,arg,0,2,0,68.5
2024-06-12,2024-06-18,arg,0,3,0,79.33333333333333
2024-06-19,2024-06-25,arg,0,1,0,65
2024-06-26,2024-07-02,arg,0,2,0,73
2024-07-03,2024-07-09,arg,0,1,0,4
2024-07-10,2024-07-16,arg,0,2,0,75.5
2024-07-17,2024-07-23,arg,0,1,0,20
2024-07-24,2024-07-30,arg,0,3,0,73
2024-07-31,2024-08-06,arg,0,3,0,73.33333333333333
2024-08-07,2024-08-13,arg,0,2,0,76.5
2024-08-14,2024-08-20,arg,0,2,0,65
2024-08-21,2024-08-27,arg,0,3,0,77
2024-08-28,2024-09-03,arg,0,5,0,79.6
2024-09-04,2024-09-10,arg,0,4,0,63.5
2024-09-11,2024-09-17,arg,0,5,0,48.6
2024-09-18,2024-09-24,arg,0,6,0,74.66666666666667
2024-09-25,2024-10-01,arg,0,9,0,70
2024-10-02,2024-10-08,arg,0,6,0,55.333333333333336
2024-10-09,2024-10-15,arg,0,4,0,49.5
2024-10-16,2024-10-22,arg,0,4,0,52.25
2024-10-23,2024-10-29,arg,0,5,0,62.4
2024-10-30,2024-11-05,arg,0,3,0,68.33333333333333
2024-11-06,2024-11-12,arg,0,4,0,55.5
2024-11-13,2024-11-19,arg,0,4,0,52.25
2024-11-20,2024-11-26,arg,0,9,0,41.77777777777778
2024-11-27,2024-12-03,arg,0,1,0,41
2024-12-04,2024-12-10,arg,0,2,0,48
2024-12-11,2024-12-17,arg,0,2,0,53.5
2024-12-18,2024-12-24,arg,0,1,0,49
2024-12-25,2024-12-31,arg,0,4,0,66.75
2025-01-01,2025-01-07,arg,0,2,0,44
2025-01-08,2025-01-14,arg,0,4,0,84
2025-01-15,2025-01-21,arg,0,4,0,55.25
2025-01-22,2025-01-28,arg,0,1,0,42
2025-01-29,2025-02-04,arg,0,2,0,26
2025-02-05,2025-02-11,arg,0,1,0,63
2025-02-12,2025-02-18,arg,0,2,0,61.5
2025-02-19,2025-02-25,arg,0,4,0,69
2025-02-26,2025-03-04,arg,0,2,0,30
2025-03-05,2025-03-11,arg,0,2,0,28.5
2025-03-12,2025-03-18,arg,0,3,0,51
2025-03-19,2025-03-25,arg,0,3,0,81
2025-03-26,2025-04-01,arg,0,1,0,14
2025-04-02,2025-04-08,arg,0,2,0,28
2025-04-09,2025-04-15,arg,0,1,0,41
